DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.112982	11	2	3	1	12	3	1	0	70	0	0	10.166	0	0
DL	0.112982	11	2	3	1	12	4	1	0	70	0	0	20.6136	0	0
DL	0.113232	11	3	0	1	12	3	1	0	70	0	0	10.166	0	0
DL	0.113232	11	3	0	1	12	4	1	0	70	0	0	20.6136	0	0
DL	0.113482	11	3	1	1	12	3	1	0	70	0	0	10.166	0	0
DL	0.113482	11	3	1	1	12	4	1	0	70	0	0	20.6136	0	0
DL	0.113732	11	3	2	1	12	3	1	0	1105	16	0	10.166	0	0
DL	0.113732	11	3	2	1	12	4	1	0	2073	24	0	20.6136	0	0
DL	0.113946	11	3	3	1	10	4	1	0	1726	24	0	20.6136	0	0
DL	0.113982	11	3	3	1	12	3	1	0	1105	16	0	32.1259	0	0
DL	0.114232	11	4	0	1	12	3	1	0	1105	16	0	39.8842	0	0
DL	0.114411	11	4	1	1	8	4	1	0	1383	24	0	20.6136	0	0
DL	0.114482	11	4	1	1	12	3	1	0	1105	16	0	35.1223	0	0
DL	0.114589	11	4	2	1	4	3	1	0	847	28	0	39.8842	0	1.14131e-13
DL	0.114893	11	4	3	1	7	3	1	0	1484	28	0	10.166	1	1
DL	0.114911	11	4	3	1	8	4	1	0	1383	24	0	33.4917	0	0
DL	0.115393	11	5	1	1	7	3	1	0	1484	28	0	10.166	1	1
DL	0.115411	11	5	1	1	8	4	1	0	1383	24	0	33.4917	0	0
DL	0.115893	11	5	3	1	7	3	1	0	1484	28	1	10.166	1	1
DL	0.115893	11	5	3	1	7	4	1	0	1484	28	0	20.6136	1	1
DL	0.116143	11	6	0	1	7	3	1	0	1484	28	2	39.8842	0	0
DL	0.116393	11	6	1	1	7	4	1	0	1484	28	0	20.6136	1	1
DL	0.116393	11	6	1	1	7	3	1	0	1484	28	1	10.166	1	1
DL	0.116643	11	6	2	1	7	3	1	0	1484	28	2	39.8842	0	0
DL	0.116893	11	6	3	1	7	4	1	0	1484	28	1	20.6136	0	0
DL	0.116893	11	6	3	1	7	3	1	0	1484	28	3	10.166	1	1
DL	0.117143	11	7	0	1	7	4	1	0	1484	28	2	20.6136	1	1
DL	0.117232	11	7	0	1	12	3	1	0	1105	16	0	36.0886	0	0
DL	0.117393	11	7	1	1	7	4	1	0	1484	28	1	20.6136	0	0
DL	0.117393	11	7	1	1	7	3	1	0	1484	28	3	10.166	1	1
DL	0.117643	11	7	2	1	7	4	1	0	1484	28	2	20.6136	1	1
DL	0.117732	11	7	2	1	12	3	1	0	1105	16	0	36.0886	0	0
DL	0.117911	11	7	3	1	8	4	1	0	1383	24	0	20.6136	0	0
DL	0.117982	11	7	3	1	12	3	1	0	1105	16	1	35.1223	0	0
DL	0.118161	11	8	0	1	8	4	1	0	1383	24	1	20.6136	0	0
DL	0.118232	11	8	0	1	12	3	1	0	1105	16	0	35.1223	0	0
DL	0.118411	11	8	1	1	8	4	1	0	1383	24	2	20.6136	0	0
DL	0.118482	11	8	1	1	12	3	1	0	1105	16	1	35.1223	0	0
DL	0.118732	11	8	2	1	12	4	1	0	2073	24	0	20.6136	0	0
DL	0.118732	11	8	2	1	12	3	1	0	2541	28	0	10.166	1	1
DL	0.118982	11	8	3	1	12	4	1	0	2073	24	0	20.6136	0	0
DL	0.118982	11	8	3	1	12	3	1	0	2541	28	0	10.166	1	1
DL	0.119089	11	9	0	1	4	3	1	0	847	28	0	10.166	1	1
DL	0.119143	11	9	0	1	7	4	1	0	1209	24	0	38.6813	0	0
DL	0.119411	11	9	1	1	8	4	1	0	1383	24	0	20.6136	0	0
DL	0.119482	11	9	1	1	12	3	1	0	1105	16	0	35.1223	0	0
DL	0.119732	11	9	2	1	12	3	1	0	1105	16	1	39.8842	0	0
DL	0.119839	11	9	3	1	4	3	1	0	847	28	1	10.166	1	1
DL	0.119893	11	9	3	1	7	4	1	0	1484	28	0	20.6239	1	1
DL	0.119911	11	9	3	5	4	3	1	0	847	28	2	33.8776	0	6.90842e-07
DL	0.119982	11	9	3	9	4	3	1	0	847	28	3	39.8842	0	1.14131e-13
DL	0.120161	12	0	0	1	8	3	1	0	1694	28	0	39.8842	0	0
DL	0.120393	12	0	1	1	7	3	1	0	1484	28	0	10.166	1	1
DL	0.120411	12	0	1	1	8	4	1	0	1383	24	0	33.4917	0	0
DL	0.120893	12	0	3	1	7	3	1	0	1484	28	0	10.166	1	1
DL	0.120911	12	0	3	1	8	4	1	0	1383	24	1	33.4917	0	0
DL	0.121161	12	1	0	1	8	4	1	0	1383	24	2	42.3221	0	0
DL	0.121393	12	1	1	1	7	4	1	0	1484	28	0	20.6136	1	1
DL	0.121482	12	1	1	1	12	3	1	0	1105	16	0	36.0886	0	0
DL	0.121571	12	1	2	1	3	3	1	0	274	16	0	39.8842	0	0
DL	0.121893	12	1	3	1	7	3	1	0	1484	28	1	10.166	1	1
DL	0.121982	12	1	3	1	12	4	1	0	2541	28	0	38.5609	0	0
DL	0.122036	12	2	0	1	1	4	1	0	170	24	0	20.6136	0	2.38698e-15
DL	0.122143	12	2	0	1	7	3	1	0	1484	28	2	39.2156	0	0
DL	0.122286	12	2	1	1	1	4	1	0	170	24	1	20.6136	0	2.38698e-15
DL	0.122304	12	2	1	2	1	4	1	0	170	24	2	20.6136	0	2.38698e-15
DL	0.122393	12	2	1	1	7	3	1	0	1484	28	0	10.2942	1	1
DL	0.122446	12	2	1	3	8	4	1	0	1383	24	0	38.111	0	0
DL	0.122893	12	2	3	1	7	3	1	0	1484	28	3	10.166	1	1
DL	0.122911	12	2	3	1	8	4	1	0	1383	24	0	33.4917	0	0
DL	0.123232	12	3	0	1	12	3	1	0	1105	16	0	39.8842	0	0
DL	0.123393	12	3	1	1	7	4	1	0	1484	28	0	20.6136	1	1
DL	0.123393	12	3	1	1	7	3	1	0	1484	28	1	10.166	1	1
DL	0.123643	12	3	2	1	7	3	1	0	1484	28	2	39.8842	0	0
DL	0.123893	12	3	3	1	7	4	1	0	1484	28	0	20.6136	0	0
DL	0.123982	12	3	3	1	12	3	1	0	1105	16	1	36.0886	0	0
DL	0.124232	12	4	0	1	12	3	1	0	1105	16	0	39.8842	0	0
DL	0.124393	12	4	1	1	7	4	1	0	1484	28	1	20.6136	1	1
DL	0.124393	12	4	1	1	7	3	1	0	1484	28	3	10.166	1	1
DL	0.124643	12	4	2	1	7	4	1	0	1484	28	2	20.6136	0	0
DL	0.124732	12	4	2	1	12	3	1	0	2541	28	0	36.0886	0	0
DL	0.124911	12	4	3	1	8	4	1	0	1383	24	0	20.6136	0	0
DL	0.124982	12	4	3	1	12	3	1	0	2541	28	0	35.1223	0	0
DL	0.125143	12	5	0	1	7	3	1	0	643	16	0	39.8842	0	0
DL	0.125411	12	5	1	1	8	4	1	0	1383	24	1	20.6136	0	0
DL	0.125482	12	5	1	1	12	3	1	0	2541	28	1	35.1223	0	0
DL	0.125643	12	5	2	1	7	3	1	0	1484	28	0	10.166	1	1
DL	0.125661	12	5	2	1	8	4	1	0	1383	24	2	33.4917	0	0
DL	0.125893	12	5	3	1	7	3	1	0	1484	28	0	10.166	1	1
DL	0.125982	12	5	3	1	12	4	1	0	2073	24	0	38.5609	0	0
DL	0.126089	12	6	0	1	4	4	1	0	690	24	0	42.3221	0	0
DL	0.126482	12	6	1	1	12	3	1	0	1105	16	0	10.166	0	0
DL	0.126482	12	6	1	1	12	4	1	0	2541	28	0	20.6136	1	1
DL	0.126536	12	6	2	1	1	4	1	0	209	28	0	20.6136	0	0
DL	0.126571	12	6	2	1	3	3	1	0	274	16	0	38.1258	0	0
DL	0.126893	12	6	3	1	7	4	1	0	1484	28	0	20.6136	1	1
DL	0.126982	12	6	3	1	12	3	1	0	1105	16	1	36.0886	0	0
DL	0.127232	12	7	0	1	12	3	1	0	1105	16	0	39.8842	0	0
DL	0.127393	12	7	1	1	7	4	1	0	1484	28	1	20.6136	0	0
DL	0.127411	12	7	1	1	8	3	1	0	1694	28	0	30.8857	0	0
DL	0.127661	12	7	2	1	8	4	1	0	1383	24	0	42.3221	0	0
DL	0.127893	12	7	3	1	7	3	1	0	1484	28	0	10.166	1	1
DL	0.127911	12	7	3	1	8	4	1	0	1383	24	1	33.4917	0	0
DL	0.128161	12	8	0	1	8	4	1	0	1383	24	2	42.3221	0	0
DL	0.128393	12	8	1	1	7	3	1	0	1484	28	0	10.166	1	1
DL	0.128393	12	8	1	1	7	4	1	0	1484	28	0	20.6136	1	1
DL	0.128893	12	8	3	1	7	3	1	0	1484	28	1	10.166	0	0
DL	0.128982	12	8	3	1	12	4	1	0	2541	28	0	38.5609	0	0
DL	0.129036	12	9	0	1	1	4	1	0	170	24	0	20.6136	0	2.38698e-15
DL	0.129143	12	9	0	1	7	3	1	0	1484	28	2	39.2156	0	0
DL	0.129286	12	9	1	1	1	4	1	0	170	24	1	20.6136	0	2.38698e-15
DL	0.129304	12	9	1	2	1	4	1	0	170	24	2	20.6136	0	2.38698e-15
DL	0.129393	12	9	1	1	7	3	1	0	1484	28	3	10.2942	1	1
DL	0.129446	12	9	1	3	8	4	1	0	1383	24	0	38.111	0	0
DL	0.129732	12	9	2	1	12	3	1	0	1105	16	0	39.8842	0	0
DL	0.129911	12	9	3	1	8	4	1	0	1383	24	0	20.6136	0	0
DL	0.129982	12	9	3	1	12	3	1	0	2541	28	0	35.1223	0	0
DL	0.130089	13	0	0	1	4	3	1	0	366	16	0	39.8842	0	0
DL	0.130339	13	0	1	1	4	3	1	0	366	16	1	10.166	0	1.51102e-10
DL	0.130393	13	0	1	1	7	4	1	0	1484	28	0	20.6239	1	1
DL	0.130411	13	0	1	5	4	3	1	0	366	16	2	33.8776	0	0
DL	0.130482	13	0	1	9	4	3	1	0	847	28	0	39.8842	0	1.14131e-13
DL	0.130571	13	0	2	1	3	3	1	0	634	28	0	39.8842	0	0
DL	0.130893	13	0	3	1	7	3	1	0	1484	28	0	10.166	1	1
DL	0.130911	13	0	3	1	8	4	1	0	1383	24	0	33.4917	0	0
DL	0.131393	13	1	1	1	7	3	1	0	1484	28	0	10.166	1	1
DL	0.131411	13	1	1	1	8	4	1	0	1383	24	1	33.4917	0	0
DL	0.131661	13	1	2	1	8	4	1	0	1383	24	2	42.3221	0	0
DL	0.131893	13	1	3	1	7	3	1	0	1484	28	1	10.166	0	0
DL	0.131893	13	1	3	1	7	4	1	0	1484	28	0	20.6136	1	1
DL	0.132143	13	2	0	1	7	3	1	0	1484	28	2	39.8842	0	0
DL	0.132393	13	2	1	1	7	3	1	0	1484	28	3	10.166	1	1
DL	0.132482	13	2	1	1	12	4	1	0	2541	28	0	38.5609	0	0
DL	0.132536	13	2	2	1	1	4	1	0	170	24	0	20.6136	0	2.38698e-15
DL	0.132732	13	2	2	1	12	3	1	0	1105	16	0	39.5068	0	0
DL	0.132786	13	2	3	1	1	4	1	0	170	24	1	20.6136	0	2.38698e-15
DL	0.132804	13	2	3	2	1	4	1	0	170	24	2	20.6136	0	2.38698e-15
DL	0.132946	13	2	3	3	8	4	1	0	1383	24	0	20.6136	0	0
DL	0.132982	13	2	3	1	12	3	1	0	2541	28	0	32.1263	0	0
DL	0.133089	13	3	0	1	4	3	1	0	366	16	0	39.8842	0	0
DL	0.133339	13	3	1	1	4	3	1	0	366	16	1	10.166	0	1.51102e-10
DL	0.133411	13	3	1	1	8	4	1	0	1383	24	0	20.6226	0	0
DL	0.133411	13	3	1	5	4	3	1	0	366	16	2	10.166	0	1.51102e-10
DL	0.133482	13	3	1	9	4	3	1	0	847	28	0	39.8842	0	1.14131e-13
DL	0.133571	13	3	2	1	3	3	1	0	634	28	0	39.8842	0	0
DL	0.133893	13	3	3	1	7	3	1	0	1484	28	0	10.166	1	1
DL	0.133911	13	3	3	1	8	4	1	0	1383	24	0	33.4917	0	0
DL	0.134393	13	4	1	1	7	3	1	0	1484	28	0	10.166	1	1
DL	0.134411	13	4	1	1	8	4	1	0	1383	24	0	33.4917	0	0
DL	0.134893	13	4	3	1	7	3	1	0	1484	28	1	10.166	0	0
DL	0.134893	13	4	3	1	7	4	1	0	1484	28	0	20.6136	1	1
DL	0.135143	13	5	0	1	7	3	1	0	1484	28	2	39.8842	0	0
DL	0.135393	13	5	1	1	7	4	1	0	1484	28	0	20.6136	0	0
DL	0.135393	13	5	1	1	7	3	1	0	1484	28	3	10.166	1	1
DL	0.135732	13	5	2	1	12	3	1	0	1105	16	0	39.8842	0	0
DL	0.135893	13	5	3	1	7	4	1	0	1484	28	1	20.6136	1	1
DL	0.135982	13	5	3	1	12	3	1	0	2541	28	0	36.0886	0	0
DL	0.136089	13	6	0	1	4	3	1	0	366	16	0	10.166	0	1.51102e-10
DL	0.136143	13	6	0	1	7	4	1	0	1484	28	2	38.6813	0	0
DL	0.136339	13	6	1	1	4	3	1	0	366	16	1	10.166	0	1.51102e-10
DL	0.136411	13	6	1	1	8	4	1	0	1383	24	0	20.6226	0	0
DL	0.136411	13	6	1	5	4	3	1	0	366	16	2	10.166	0	1.51102e-10
DL	0.136482	13	6	1	9	4	3	1	0	847	28	0	39.8842	0	1.14131e-13
DL	0.136571	13	6	2	1	3	3	1	0	634	28	0	39.8842	0	0
DL	0.136911	13	6	3	1	8	4	1	0	1383	24	1	20.6136	0	0
DL	0.136982	13	6	3	1	12	3	1	0	1105	16	0	35.1223	0	0
DL	0.137054	13	7	0	1	2	3	1	0	422	28	0	10.166	1	1
DL	0.137161	13	7	0	1	8	4	1	0	1383	24	2	41.0825	0	0
DL	0.137393	13	7	1	1	7	3	1	0	1484	28	0	10.166	0	0
DL	0.137482	13	7	1	1	12	4	1	0	2073	24	0	38.5609	0	0
DL	0.137589	13	7	2	1	4	4	1	0	690	24	0	42.3221	0	0
DL	0.137982	13	7	3	1	12	3	1	0	1105	16	0	10.166	0	0
DL	0.137982	13	7	3	1	12	4	1	0	2541	28	0	20.6136	1	1
DL	0.138036	13	8	0	1	1	4	1	0	209	28	0	20.6136	0	0
DL	0.138071	13	8	0	1	3	3	1	0	274	16	0	38.1258	0	0
DL	0.138393	13	8	1	1	7	4	1	0	1484	28	0	20.6136	1	1
DL	0.138482	13	8	1	1	12	3	1	0	1105	16	0	36.0886	0	0
DL	0.138571	13	8	2	1	3	3	1	0	274	16	0	39.8842	0	0
DL	0.138893	13	8	3	1	7	4	1	0	1484	28	1	20.6136	0	0
DL	0.138893	13	8	3	1	7	3	1	0	1484	28	0	10.166	1	1
DL	0.139161	13	9	0	1	8	4	1	0	1383	24	0	42.3221	0	0
DL	0.139393	13	9	1	1	7	3	1	0	1484	28	0	10.166	1	1
DL	0.139411	13	9	1	1	8	4	1	0	1383	24	1	33.4917	0	0
DL	0.139661	13	9	2	1	8	4	1	0	1383	24	2	42.3221	0	0
DL	0.139893	13	9	3	1	7	3	1	0	1484	28	1	10.166	0	0
DL	0.139893	13	9	3	1	7	4	1	0	1484	28	0	20.6136	1	1
DL	0.140143	14	0	0	1	7	3	1	0	1484	28	2	39.8842	0	0
DL	0.140393	14	0	1	1	7	3	1	0	1484	28	3	10.166	1	1
DL	0.140482	14	0	1	1	12	4	1	0	2541	28	0	38.5609	0	0
DL	0.140536	14	0	2	1	1	4	1	0	170	24	0	20.6136	0	2.38698e-15
DL	0.140732	14	0	2	1	12	3	1	0	1105	16	0	39.5068	0	0
DL	0.140786	14	0	3	1	1	4	1	0	170	24	1	20.6136	0	2.38698e-15
DL	0.140804	14	0	3	2	1	4	1	0	170	24	2	20.6136	0	2.38698e-15
DL	0.140946	14	0	3	3	8	4	1	0	1383	24	0	20.6136	0	0
DL	0.140982	14	0	3	1	12	3	1	0	2541	28	0	32.1263	0	0
DL	0.141089	14	1	0	1	4	3	1	0	366	16	0	39.8842	0	0
DL	0.141339	14	1	1	1	4	3	1	0	366	16	1	10.166	0	1.51102e-10
DL	0.141411	14	1	1	1	8	4	1	0	1383	24	0	20.6226	0	0
DL	0.141411	14	1	1	5	4	3	1	0	366	16	2	10.166	0	1.51102e-10
DL	0.141482	14	1	1	9	4	3	1	0	847	28	0	39.8842	0	1.14131e-13
DL	0.141571	14	1	2	1	3	3	1	0	634	28	0	39.8842	0	0
DL	0.141893	14	1	3	1	7	3	1	0	1484	28	0	10.166	1	1
DL	0.141911	14	1	3	1	8	4	1	0	1383	24	0	33.4917	0	0
DL	0.142393	14	2	1	1	7	3	1	0	1484	28	0	10.166	1	1
DL	0.142411	14	2	1	1	8	4	1	0	1383	24	0	33.4917	0	0
DL	0.142893	14	2	3	1	7	3	1	0	1484	28	1	10.166	0	0
DL	0.142893	14	2	3	1	7	4	1	0	1484	28	0	20.6136	1	1
DL	0.143143	14	3	0	1	7	3	1	0	1484	28	2	39.8842	0	0
DL	0.143393	14	3	1	1	7	4	1	0	1484	28	0	20.6136	0	0
DL	0.143393	14	3	1	1	7	3	1	0	1484	28	3	10.166	1	1
DL	0.143732	14	3	2	1	12	3	1	0	1105	16	0	39.8842	0	0
DL	0.143893	14	3	3	1	7	4	1	0	1484	28	1	20.6136	1	1
DL	0.143982	14	3	3	1	12	3	1	0	2541	28	0	36.0886	0	0
DL	0.144089	14	4	0	1	4	3	1	0	366	16	0	10.166	0	1.51102e-10
DL	0.144143	14	4	0	1	7	4	1	0	1484	28	2	38.6813	0	0
DL	0.144339	14	4	1	1	4	3	1	0	366	16	1	10.166	0	1.51102e-10
DL	0.144411	14	4	1	1	8	4	1	0	1383	24	0	20.6226	0	0
DL	0.144411	14	4	1	5	4	3	1	0	366	16	2	10.166	0	1.51102e-10
DL	0.144482	14	4	1	9	4	3	1	0	847	28	0	39.8842	0	1.14131e-13
DL	0.144571	14	4	2	1	3	3	1	0	634	28	0	39.8842	0	0
DL	0.144911	14	4	3	1	8	4	1	0	1383	24	1	20.6136	0	0
DL	0.144982	14	4	3	1	12	3	1	0	1105	16	0	35.1223	0	0
DL	0.145054	14	5	0	1	2	3	1	0	422	28	0	10.166	1	1
DL	0.145161	14	5	0	1	8	4	1	0	1383	24	2	41.0825	0	0
DL	0.145393	14	5	1	1	7	3	1	0	1484	28	0	10.166	0	0
DL	0.145482	14	5	1	1	12	4	1	0	2073	24	0	38.5609	0	0
DL	0.145589	14	5	2	1	4	4	1	0	690	24	0	42.3221	0	0
DL	0.145982	14	5	3	1	12	3	1	0	1105	16	0	10.166	0	0
DL	0.145982	14	5	3	1	12	4	1	0	2541	28	0	20.6136	1	1
DL	0.146036	14	6	0	1	1	4	1	0	209	28	0	20.6136	0	0
DL	0.146071	14	6	0	1	3	3	1	0	274	16	0	38.1258	0	0
DL	0.146393	14	6	1	1	7	4	1	0	1484	28	0	20.6136	1	1
DL	0.146482	14	6	1	1	12	3	1	0	1105	16	0	36.0886	0	0
DL	0.146571	14	6	2	1	3	3	1	0	274	16	0	39.8842	0	0
DL	0.146893	14	6	3	1	7	4	1	0	1484	28	1	20.6136	0	0
DL	0.146893	14	6	3	1	7	3	1	0	1484	28	0	10.166	1	1
DL	0.147161	14	7	0	1	8	4	1	0	1383	24	0	42.3221	0	0
DL	0.147393	14	7	1	1	7	3	1	0	1484	28	0	10.166	1	1
DL	0.147411	14	7	1	1	8	4	1	0	1383	24	1	33.4917	0	0
DL	0.147661	14	7	2	1	8	4	1	0	1383	24	2	42.3221	0	0
DL	0.147893	14	7	3	1	7	3	1	0	1484	28	1	10.166	0	0
DL	0.147893	14	7	3	1	7	4	1	0	1484	28	0	20.6136	1	1
DL	0.148143	14	8	0	1	7	3	1	0	1484	28	2	39.8842	0	0
DL	0.148393	14	8	1	1	7	3	1	0	1484	28	3	10.166	1	1
DL	0.148482	14	8	1	1	12	4	1	0	2541	28	0	38.5609	0	0
DL	0.148536	14	8	2	1	1	4	1	0	170	24	0	20.6136	0	2.38698e-15
DL	0.148732	14	8	2	1	12	3	1	0	1105	16	0	39.5068	0	0
DL	0.148786	14	8	3	1	1	4	1	0	170	24	1	20.6136	0	2.38698e-15
DL	0.148804	14	8	3	2	1	4	1	0	170	24	2	20.6136	0	2.38698e-15
DL	0.148946	14	8	3	3	8	4	1	0	1383	24	0	20.6136	0	0
DL	0.148982	14	8	3	1	12	3	1	0	2541	28	0	32.1263	0	0
DL	0.149089	14	9	0	1	4	3	1	0	366	16	0	39.8842	0	0
DL	0.149339	14	9	1	1	4	3	1	0	366	16	1	10.166	0	1.51102e-10
DL	0.149411	14	9	1	1	8	4	1	0	1383	24	0	20.6226	0	0
DL	0.149411	14	9	1	5	4	3	1	0	366	16	2	10.166	0	1.51102e-10
DL	0.149482	14	9	1	9	4	3	1	0	847	28	0	39.8842	0	1.14131e-13
DL	0.149571	14	9	2	1	3	3	1	0	634	28	0	39.8842	0	0
DL	0.149893	14	9	3	1	7	3	1	0	1484	28	0	10.166	1	1
DL	0.149911	14	9	3	1	8	4	1	0	1383	24	0	33.4917	0	0
DL	0.150393	15	0	1	1	7	3	1	0	1484	28	0	10.166	1	1
DL	0.150411	15	0	1	1	8	4	1	0	1383	24	0	33.4917	0	0
DL	0.150893	15	0	3	1	7	3	1	0	1484	28	1	10.166	0	0
DL	0.150893	15	0	3	1	7	4	1	0	1484	28	0	20.6136	1	1
DL	0.151143	15	1	0	1	7	3	1	0	1484	28	2	39.8842	0	0
DL	0.151393	15	1	1	1	7	4	1	0	1484	28	0	20.6136	0	0
DL	0.151393	15	1	1	1	7	3	1	0	1484	28	3	10.166	1	1
DL	0.151732	15	1	2	1	12	3	1	0	1105	16	0	39.8842	0	0
DL	0.151893	15	1	3	1	7	4	1	0	1484	28	1	20.6136	1	1
DL	0.151982	15	1	3	1	12	3	1	0	2541	28	0	36.0886	0	0
DL	0.152089	15	2	0	1	4	3	1	0	366	16	0	10.166	0	1.51102e-10
DL	0.152143	15	2	0	1	7	4	1	0	1484	28	2	38.6813	0	0
DL	0.152339	15	2	1	1	4	3	1	0	366	16	1	10.166	0	1.51102e-10
DL	0.152411	15	2	1	1	8	4	1	0	1383	24	0	20.6226	0	0
DL	0.152411	15	2	1	5	4	3	1	0	366	16	2	10.166	0	1.51102e-10
DL	0.152482	15	2	1	9	4	3	1	0	847	28	0	39.8842	0	1.14131e-13
DL	0.152571	15	2	2	1	3	3	1	0	634	28	0	39.8842	0	0
DL	0.152911	15	2	3	1	8	4	1	0	1383	24	1	20.6136	0	0
DL	0.152982	15	2	3	1	12	3	1	0	1105	16	0	35.1223	0	0
DL	0.153054	15	3	0	1	2	3	1	0	422	28	0	10.166	1	1
DL	0.153161	15	3	0	1	8	4	1	0	1383	24	2	41.0825	0	0
DL	0.153393	15	3	1	1	7	3	1	0	1484	28	0	10.166	0	0
DL	0.153482	15	3	1	1	12	4	1	0	2073	24	0	38.5609	0	0
DL	0.153589	15	3	2	1	4	4	1	0	690	24	0	42.3221	0	0
DL	0.153982	15	3	3	1	12	3	1	0	1105	16	0	10.166	0	0
DL	0.153982	15	3	3	1	12	4	1	0	2541	28	0	20.6136	1	1
DL	0.154036	15	4	0	1	1	4	1	0	209	28	0	20.6136	0	0
DL	0.154071	15	4	0	1	3	3	1	0	274	16	0	38.1258	0	0
DL	0.154393	15	4	1	1	7	4	1	0	1484	28	0	20.6136	1	1
DL	0.154482	15	4	1	1	12	3	1	0	1105	16	0	36.0886	0	0
DL	0.154571	15	4	2	1	3	3	1	0	274	16	0	39.8842	0	0
DL	0.154893	15	4	3	1	7	4	1	0	1484	28	1	20.6136	0	0
DL	0.154893	15	4	3	1	7	3	1	0	1484	28	0	10.166	1	1
DL	0.155161	15	5	0	1	8	4	1	0	1383	24	0	42.3221	0	0
DL	0.155393	15	5	1	1	7	3	1	0	1484	28	0	10.166	1	1
DL	0.155411	15	5	1	1	8	4	1	0	1383	24	1	33.4917	0	0
DL	0.155661	15	5	2	1	8	4	1	0	1383	24	2	42.3221	0	0
DL	0.155893	15	5	3	1	7	3	1	0	1484	28	1	10.166	0	0
DL	0.155893	15	5	3	1	7	4	1	0	1484	28	0	20.6136	1	1
DL	0.156143	15	6	0	1	7	3	1	0	1484	28	2	39.8842	0	0
DL	0.156393	15	6	1	1	7	3	1	0	1484	28	3	10.166	1	1
DL	0.156482	15	6	1	1	12	4	1	0	2541	28	0	38.5609	0	0
DL	0.156536	15	6	2	1	1	4	1	0	170	24	0	20.6136	0	2.38698e-15
DL	0.156732	15	6	2	1	12	3	1	0	1105	16	0	39.5068	0	0
DL	0.156786	15	6	3	1	1	4	1	0	170	24	1	20.6136	0	2.38698e-15
DL	0.156804	15	6	3	2	1	4	1	0	170	24	2	20.6136	0	2.38698e-15
DL	0.156946	15	6	3	3	8	4	1	0	1383	24	0	20.6136	0	0
DL	0.156982	15	6	3	1	12	3	1	0	2541	28	0	32.1263	0	0
DL	0.157089	15	7	0	1	4	3	1	0	366	16	0	39.8842	0	0
DL	0.157339	15	7	1	1	4	3	1	0	366	16	1	10.166	0	1.51102e-10
DL	0.157411	15	7	1	1	8	4	1	0	1383	24	0	20.6226	0	0
DL	0.157411	15	7	1	5	4	3	1	0	366	16	2	10.166	0	1.51102e-10
DL	0.157482	15	7	1	9	4	3	1	0	847	28	0	39.8842	0	1.14131e-13
DL	0.157571	15	7	2	1	3	3	1	0	634	28	0	39.8842	0	0
DL	0.157893	15	7	3	1	7	3	1	0	1484	28	0	10.166	1	1
DL	0.157911	15	7	3	1	8	4	1	0	1383	24	0	33.4917	0	0
DL	0.158393	15	8	1	1	7	3	1	0	1484	28	0	10.166	1	1
DL	0.158411	15	8	1	1	8	4	1	0	1383	24	0	33.4917	0	0
DL	0.158893	15	8	3	1	7	3	1	0	1484	28	1	10.166	0	0
DL	0.158893	15	8	3	1	7	4	1	0	1484	28	0	20.6136	1	1
DL	0.159143	15	9	0	1	7	3	1	0	1484	28	2	39.8842	0	0
DL	0.159393	15	9	1	1	7	4	1	0	1484	28	0	20.6136	0	0
DL	0.159393	15	9	1	1	7	3	1	0	1484	28	3	10.166	1	1
DL	0.159732	15	9	2	1	12	3	1	0	1105	16	0	39.8842	0	0
DL	0.159893	15	9	3	1	7	4	1	0	1484	28	1	20.6136	1	1
DL	0.159982	15	9	3	1	12	3	1	0	2541	28	0	36.0886	0	0
DL	0.160089	16	0	0	1	4	3	1	0	366	16	0	10.166	0	1.51102e-10
DL	0.160143	16	0	0	1	7	4	1	0	1484	28	2	38.6813	0	0
DL	0.160339	16	0	1	1	4	3	1	0	366	16	1	10.166	0	1.51102e-10
DL	0.160411	16	0	1	1	8	4	1	0	1383	24	0	20.6226	0	0
DL	0.160411	16	0	1	5	4	3	1	0	366	16	2	10.166	0	1.51102e-10
DL	0.160482	16	0	1	9	4	3	1	0	847	28	0	39.8842	0	1.14131e-13
DL	0.160571	16	0	2	1	3	3	1	0	634	28	0	39.8842	0	0
DL	0.160911	16	0	3	1	8	4	1	0	1383	24	1	20.6136	0	0
DL	0.160982	16	0	3	1	12	3	1	0	1105	16	0	35.1223	0	0
DL	0.161054	16	1	0	1	2	3	1	0	422	28	0	10.166	1	1
DL	0.161161	16	1	0	1	8	4	1	0	1383	24	2	41.0825	0	0
DL	0.161393	16	1	1	1	7	3	1	0	1484	28	0	10.166	0	0
DL	0.161482	16	1	1	1	12	4	1	0	2073	24	0	38.5609	0	0
DL	0.161589	16	1	2	1	4	4	1	0	690	24	0	42.3221	0	0
DL	0.161982	16	1	3	1	12	3	1	0	1105	16	0	10.166	0	0
DL	0.161982	16	1	3	1	12	4	1	0	2541	28	0	20.6136	1	1
DL	0.162036	16	2	0	1	1	4	1	0	209	28	0	20.6136	0	0
DL	0.162071	16	2	0	1	3	3	1	0	274	16	0	38.1258	0	0
DL	0.162393	16	2	1	1	7	4	1	0	1484	28	0	20.6136	1	1
DL	0.162482	16	2	1	1	12	3	1	0	1105	16	0	36.0886	0	0
