timestamp,ueImsiComplete,DRB.PdcpSduDelayDl (cellAverageLatency),m_pDCPBytesUL (0),m_pDCPBytesDL (cellDlTxVolume),DRB.PdcpSduVolumeDl_Filter.UEID (txBytes),Tot.PdcpSduNbrDl.UEID (txDlPackets),DRB.PdcpSduBitRateDl.UEID(pdcpThroughput),DRB.PdcpSduDelayDl.UEID (pdcpLatency),QosFlow.PdcpPduVolumeDL_Filter.UEID(txPdcpPduBytesNrRlc),DRB.PdcpPduNbrDl.Qos.UEID (txPdcpPduNrRlc)
1732451190844,00004,,,,,,,,0.000000,0
1732451190944,00004,,,,,,,,1854.960000,177
1732451191044,00004,,,,,,,,2096.000000,200
1732451191144,00004,,,,,,,,2096.000000,200
1732451191244,00004,,,,,,,,2096.000000,200
1732451191344,00004,,,,,,,,2096.000000,200
1732451191444,00004,,,,,,,,2096.000000,200
1732451191544,00004,,,,,,,,2096.000000,200
1732451191644,00004,,,,,,,,2096.000000,200
1732451191744,00004,,,,,,,,2096.000000,200
1732451191844,00004,,,,,,,,2096.000000,200
1732451191944,00004,,,,,,,,2096.000000,200
1732451192044,00004,,,,,,,,2096.000000,200
1732451192144,00004,,,,,,,,2096.000000,200
1732451192244,00004,,,,,,,,2096.000000,200
1732451192344,00004,,,,,,,,2096.000000,200
1732451192444,00004,,,,,,,,2096.000000,200
1732451192544,00004,,,,,,,,2096.000000,200
1732451192644,00004,,,,,,,,2096.000000,200
1732451192744,00004,,,,,,,,2096.000000,200
1732451192844,00004,,,,,,,,2096.000000,200
1732451192944,00004,,,,,,,,2096.000000,200
1732451193044,00004,,,,,,,,2096.000000,200
1732451193144,00004,,,,,,,,2096.000000,200
1732451193244,00004,,,,,,,,2096.000000,200
1732451193344,00004,,,,,,,,2096.000000,200
1732451193444,00004,,,,,,,,2096.000000,200
1732451193544,00004,,,,,,,,2096.000000,200
1732451193644,00004,,,,,,,,2096.000000,200
1732451193744,00004,,,,,,,,2096.000000,200
1732451193844,00004,,,,,,,,2096.000000,200
1732451193944,00004,,,,,,,,2096.000000,200
1732451194044,00004,,,,,,,,2096.000000,200
1732451194144,00004,,,,,,,,2096.000000,200
1732451194244,00004,,,,,,,,2096.000000,200
1732451194344,00004,,,,,,,,2096.000000,200
1732451194444,00004,,,,,,,,2096.000000,200
1732451194544,00004,,,,,,,,2096.000000,200
1732451194644,00004,,,,,,,,2096.000000,200
1732451194744,00004,,,,,,,,2096.000000,200
1732451194844,00004,,,,,,,,2096.000000,200
1732451194944,00004,,,,,,,,2096.000000,200
1732451195044,00004,,,,,,,,2096.000000,200
1732451195144,00004,,,,,,,,2096.000000,200
1732451195244,00004,,,,,,,,2096.000000,200
1732451195344,00004,,,,,,,,2096.000000,200
1732451195444,00004,,,,,,,,2096.000000,200
1732451195544,00004,,,,,,,,2096.000000,200
1732451195644,00004,,,,,,,,2096.000000,200
1732451195744,00004,,,,,,,,2096.000000,200
1732451195844,00004,,,,,,,,2096.000000,200
1732451195944,00004,,,,,,,,2096.000000,200
1732451196044,00004,,,,,,,,2096.000000,200
1732451196144,00004,,,,,,,,2096.000000,200
1732451196244,00004,,,,,,,,2096.000000,200
1732451196344,00004,,,,,,,,2096.000000,200
1732451196444,00004,,,,,,,,2096.000000,200
1732451196544,00004,,,,,,,,2096.000000,200
1732451196644,00004,,,,,,,,2096.000000,200
1732451196744,00004,,,,,,,,2096.000000,200
1732451196844,00004,,,,,,,,2096.000000,200
1732451196944,00004,,,,,,,,2096.000000,200
1732451197044,00004,,,,,,,,2096.000000,200
1732451197144,00004,,,,,,,,2096.000000,200
1732451197244,00004,,,,,,,,2096.000000,200
1732451197344,00004,,,,,,,,2096.000000,200
1732451197444,00004,,,,,,,,2096.000000,200
